Particulars (Tally Product Name),Sources
Frido Kids Cloud Comfort Shoes - Lace Ups - Navy-1,Stockist
Frido Cloud comfort Slippers - Blue-UK-10,"Offline_B2B,Stockist"
FSS100 Spares,Offline_B2B
Frido Sports Socks -  Coral Blue - L,MTGT
Frido Sports Socks -  Coral Blue - S,MTGT
Frido Women's Cloud Comfort Sandals - Toeless - Peach-3,Stockist
Frido Women's Cloud Comfort Sandal- Dark Silver-UK5,Stockist
Wedge neck rest pillow-white & grey-,Offline_B2B
Frido Go Armrest Cushion.,Offline_B2B
Armrest Hinge bracket 3mm,Offline_B2B
Frido Silver Mask,Offline_B2B
Active socks quarter length-Carbon Grey-L,Stockist
Frido Comfort School Sneakers Velcro-Black/Grey-47,Offline_B2B
Spare Parts of Ergo-Chair,Offline_B2B
Winter socks - Grey(Small-Medium),Offline_B2B
Frido Silver Plus Mask Medium - Black,Offline_B2B
Frido Cloud comfort Slippers - Blue-UK-7,Offline_B2B
Frido Cloud comfort Slippers - Blue-UK-8,Offline_B2B
